artist,albums,tracks,bytes,in_active,active_tracks
KennyHoopla with grandson,1,2,6229515,no,0
"Kid Ink, Wiz Khalifa",2,2,5063128,no,0
Killbox,2,2,9698426,no,0
"Killer Mike, Damian _Jr. Gong_ Marley",1,2,8328203,no,0
Killing Joke,2,2,7524621,no,0
King Isis,2,2,5362803,no,0
King Princess,2,2,6840874,no,0
Kito,2,2,6608800,no,0
Kleeer,1,2,9285287,no,0
Klute,1,2,11138181,no,0
Kopalhem,1,2,8643737,no,0
Kormz feat. Noxxic,1,2,7591342,no,0
Kreayshawn,2,2,5675438,yes,44
Kultist,1,2,5300696,no,0
Kun-Woo Paik,2,2,7563281,no,0
Kuzu Mellow,2,2,2896233,no,0
Kvadrat,1,2,14528600,no,0
Kydia,1,2,6695701,no,0
Kygo,2,2,7140095,no,0
"Kyle McEvoy, RJD2",1,2,6781611,no,0
Kyle Watson,2,2,9655978,no,0
Kymera,2,2,4256402,no,0
L Ʌ V Σ N,1,2,12901882,no,0
L.A. Dream Team,1,2,9864857,no,0
"LATE SINCE, hyperforms, théos",1,2,7610261,no,0
"LE SSERAFIM, PinkPantheress",1,2,5923978,no,0
LOONA,2,2,6586398,no,0
LOST SOUL,1,2,14154788,no,0
LP,1,2,7887416,no,0
La Ley,2,2,6537912,no,0
La Roux,1,2,7019722,no,0
La Rue Kétanou,2,2,9061902,no,0
La Troupe des Dix Commandements,1,2,9161337,no,0
Labrinth,2,2,4820428,yes,30
Laci Kaye Booth,2,2,5412560,no,0
Lady Gaga & Honey Dijon,1,2,9783360,no,0
Lady Gaga featuring Colby O’Donis,1,2,15378333,no,0
"Lady Gaga, Ariana Grande, Purple Disco Machine",1,2,10012982,no,0
"Lady Gaga, Ariana Grande, Ralphi Rosario",1,2,10768951,no,0
"Lady Gaga, Bruno Martini",1,2,6028357,no,0
"Lady Gaga, Sofi Tukker",1,2,7660672,no,0
Lady Pills,1,2,3970192,no,0
Lagrimas,2,2,2990698,no,0
Lake Of Blood,1,2,30483806,no,0
Lakeside,2,2,9786384,no,0
Lauren Daigle,1,2,7661754,no,0
Lauryn Hill,2,2,7882062,no,0
Lavinia Meijer,2,2,8586536,no,0
Leathers,1,2,6874695,no,0
Lebanon Hanover,2,2,6693213,no,0
Left to Suffer,2,2,5824164,no,0
Lemane,2,2,11090729,no,0
Lenka,2,2,5856422,no,0
Lenny Kravitz,2,2,9459088,no,0
